"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.50009069841877e-215,0.739140850095173,0.626,0.44,8.63567405026562e-211,"1","NCAPH2"
1.25051579316502e-214,0.42819916370379,0.925,0.859,2.39973980708367e-210,"1","FAM49B"
1.40947871909491e-214,0.440081571580321,0.917,0.836,2.70478966194314e-210,"1","DNMT1"
1.89090412692876e-212,0.489584721480243,0.874,0.776,3.6286450195763e-208,"1","NDUFV1"
5.00032479731347e-211,0.557568765220189,0.832,0.702,9.59562328604454e-207,"1","HPRT1"
2.20441594081528e-210,0.296147678510907,0.997,0.992,4.23027419042453e-206,"1","HMGA1"
8.43610073841884e-210,0.273842779836617,0.999,0.991,1.61888773170258e-205,"1","HLA-A"
2.18281550045783e-207,0.434240717772118,0.915,0.823,4.18882294537858e-203,"1","SMARCB1"
6.38757922597782e-207,0.670837560825076,0.693,0.521,1.22577645346514e-202,"1","CYB5A"
9.41450429301518e-203,0.577837595233916,0.777,0.629,1.80664337382961e-198,"1","LIMS1"
2.00631654114599e-201,0.647951391036814,0.707,0.525,3.85012144245916e-197,"1","HLA-DQB1"
6.56693650503917e-201,1.22987339804266,0.324,0.164,1.26019511531702e-196,"1","FHL1"
6.9536439100263e-201,0.440429616351709,0.911,0.814,1.33440426633405e-196,"1","PSIP1"
1.70784629905196e-197,0.371133646789829,0.984,0.947,3.27735704788071e-193,"1","HLA-DPB1"
2.27164217865267e-197,0.44682749518378,0.901,0.801,4.35928134083447e-193,"1","HSPB11"
4.88231280537392e-197,0.715605437448437,0.622,0.449,9.36915827351254e-193,"1","TUBG1"
2.06776560877253e-196,0.630309157379049,0.777,0.626,3.96804220323449e-192,"1","NFKBIA"
2.9148025425545e-196,0.450461883049765,0.906,0.822,5.59350607916209e-192,"1","SEPW1"
3.00193666570343e-194,0.399595851471034,0.97,0.932,5.76071646148488e-190,"1","FUS"
4.66825527430482e-194,1.0669714434449,0.374,0.207,8.95838187139096e-190,"1","SERPINE2"
1.50473429219448e-193,0.25576570875468,0.995,0.985,2.88758510672122e-189,"1","C19orf43"
7.40045299410233e-191,0.322847470672184,0.974,0.951,1.42014692956824e-186,"1","PPP4C"
3.92515038203593e-189,0.658999455393145,0.696,0.549,7.53236358312695e-185,"1","CENPH"
8.04786804084993e-189,0.401195974670839,0.918,0.85,1.5443858770391e-184,"1","MRPL37"
2.8319911204418e-186,0.310996911067939,0.975,0.942,5.43459096012781e-182,"1","CSTB"
1.32799513154031e-184,0.400631540923867,0.92,0.853,2.54842265742585e-180,"1","SSRP1"
2.80415338950996e-184,0.539970096544906,0.797,0.669,5.38117035446961e-180,"1","YEATS4"
4.67057665238151e-184,1.12935187371116,0.305,0.151,8.96283659592012e-180,"1","C1QTNF4"
9.33763551246889e-184,0.271834735182225,0.993,0.981,1.79189225484278e-179,"1","SLC25A5"
4.76667758789644e-182,0.467457374367555,0.838,0.736,9.14725429117328e-178,"1","FAM212A"
5.49457729942809e-182,0.661504988261309,0.571,0.392,1.05440938376025e-177,"1","RHOC"
8.77796695975069e-182,0.970049418265985,0.396,0.228,1.68449185957616e-177,"1","CDC45"
4.01199997389299e-181,1.07740472536544,0.356,0.198,7.69902794990064e-177,"1","TPD52"
4.60408334422489e-181,0.617716783873425,0.546,0.372,8.83523593756757e-177,"1","ID2"
2.09384628525552e-178,0.40561344095638,0.911,0.834,4.01809102140534e-174,"1","PSMC5"
3.04466118783865e-175,1.01688350457351,0.363,0.203,5.84270481946237e-171,"1","DONSON"
9.49980823450924e-175,0.574752680585769,0.705,0.55,1.82301320020232e-170,"1","CDCA5"
2.77695638747903e-174,0.340161806447352,0.958,0.917,5.32897930757225e-170,"1","PSMB1"
1.5170079505161e-173,0.26549233966006,0.991,0.929,2.91113825704039e-169,"1","CKS1B"
7.03526316572591e-173,0.388516565971564,0.946,0.883,1.3500670015028e-168,"1","LYRM1"
1.02487949553286e-172,0.363303393291111,0.945,0.893,1.96674375192755e-168,"1","C19orf60"
